,urls,status_code,tinken_title,tinken_model,key,value,breadcrumb
0,https://www.mrosupply.com/bearings/5067028_140tp158do-070_timken/,200,TIMKEN 140TP158DO 070 CRB Thrust < 24 OD,MODEL 140TP158DO 070,[],[],"['Bearings', 'Roller Bearings', 'Roller Thrust Bearings']"
1,https://www.mrosupply.com/bearings/5119833_170riu664-r3_timken/,200,TIMKEN 170RIU664 R3 CRB 24-36 OD Timken Single Row,MODEL 170RIU664 R3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
2,https://www.mrosupply.com/bearings/5078787_180rin683-r2_timken/,200,TIMKEN 180RIN683 R2 CRB >36 Timken Single Row,MODEL 180RIN683 R2,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
3,https://www.mrosupply.com/bearings/5073024_190ru03-r3_timken/,200,TIMKEN 190RU03 R3 CRB 12-24 OD Timken Single Row,MODEL 190RU03 R3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
4,https://www.mrosupply.com/bearings/5119433_195ttsv938-oa452_timken/,200,TIMKEN 195TTSV938 OA452 TRB Thrust Machine Race < 21 OD,MODEL 195TTSV938 OA452,[],[],"['Bearings', 'Roller Bearings', 'Roller Thrust Bearings']"
5,https://www.mrosupply.com/bearings/5073216_202tvl620-aa1518_timken/,200,TIMKEN 202TVL620 AA1518 Ball Thrust - Single Row,MODEL 202TVL620 AA1518,[],[],"['Bearings', 'Ball Bearings', 'Ball Thrust Bearings']"
6,https://www.mrosupply.com/bearings/5066740_230500kymbw507c08c3_timken/,200,TIMKEN 230/500KYMBW507C08C3 SRB 600-900mm OD Timken,MODEL 230/500KYMBW507C08C3,"['I.D.', 'O.D.', 'Outer ring backing diameter', 'Static radial rating', 'Inner ring ""to clear"" radius', 'Design unit', 'Outer ring ""to clear"" radius', 'Bore taper', 'Dynamic radial rating (two-rows)', 'Inner ring width', 'Cage material', 'Inner ring backing diameter', 'Cage type', 'ISO factor', 'Reference thermal speed rating (grease)', 'Outer ring width', 'Geometry factor', 'Reference thermal speed rating (oil)']","['19.6850 in', '28.3470 in', '26.500 in', '1840000 lbf', '0.200 in', 'METRIC', '0.200 in', '1/12', '965000 lbf', '6.575 in', 'BRASS', '21.700 in', 'YMB', '4.85', '510', '6.5750 in', '0.1037', '580']","['Bearings', 'Roller Bearings', 'Spherical Roller Bearings', 'Tapered Bore Spherical Roller Bearings']"
7,https://www.mrosupply.com/bearings/5078451_230500ymbw507c08_timken/,200,TIMKEN 230/500YMBW507C08 SRB 600-900mm OD Timken,MODEL 230/500YMBW507C08,"['I.D.', 'O.D.', 'Outer ring backing diameter', 'Static radial rating', 'Inner ring ""to clear"" radius', 'Design unit', 'Outer ring ""to clear"" radius', 'Dynamic radial rating (two-rows)', 'Geometry factor', 'Cage material', 'Inner ring backing diameter', 'Cage type', 'ISO factor', 'Reference thermal speed rating (grease)', 'Outer ring width', 'Inner ring width', 'Reference thermal speed rating (oil)']","['19.6850 in', '28.3470 in', '26.500 in', '1840000 lbf', '0.200 in', 'METRIC', '0.200 in', '965000 lbf', '0.1037', 'BRASS', '21.700 in', 'YMB', '4.85', '510', '6.5750 in', '6.575 in', '580']","['Bearings', 'Roller Bearings', 'Spherical Roller Bearings', 'Straight / Round Bore Spherical Roller Bearings']"
8,https://www.mrosupply.com/bearings/5067968_230630ymbw509c08_timken/,200,TIMKEN 230/630YMBW509C08 SRB >900mm OD Timken,MODEL 230/630YMBW509C08,[],[],"['Bearings', 'Roller Bearings', 'Spherical Roller Bearings', 'Straight / Round Bore Spherical Roller Bearings']"
9,https://www.mrosupply.com/bearings/5114571_230630ymbwew33w45a_timken/,200,,,[],[],[]
10,https://www.mrosupply.com/bearings/5078418_230710ymbw509c08_timken/,200,TIMKEN 230/710YMBW509C08 SRB >900mm OD Timken,MODEL 230/710YMBW509C08,[],[],"['Bearings', 'Roller Bearings', 'Spherical Roller Bearings', 'Straight / Round Bore Spherical Roller Bearings']"
11,https://www.mrosupply.com/bearings/5069301_230850kymbw906a_timken/,200,TIMKEN 230/850KYMBW906A SRB >900mm OD Timken,MODEL 230/850KYMBW906A,[],[],"['Bearings', 'Roller Bearings', 'Spherical Roller Bearings', 'Tapered Bore Spherical Roller Bearings']"
12,https://www.mrosupply.com/bearings/5119401_231750kymbw848c08c3_timken/,200,TIMKEN 231/750KYMBW848C08C3 SRB 600-900mm OD Timken,MODEL 231/750KYMBW848C08C3,[],[],"['Bearings', 'Roller Bearings', 'Spherical Roller Bearings', 'Tapered Bore Spherical Roller Bearings']"
13,https://www.mrosupply.com/bearings/5119583_239710ymbw47w534_timken/,200,TIMKEN 239/710YMBW47W534 SRB 600-900mm OD Timken,MODEL 239/710YMBW47W534,"['I.D.', 'O.D.', 'Outer ring backing diameter', 'Static radial rating', 'Inner ring ""to clear"" radius', 'Design unit', 'Outer ring ""to clear"" radius', 'Dynamic radial rating (two-rows)', 'Geometry factor', 'Cage material', 'Inner ring backing diameter', 'Cage type', 'ISO factor', 'Reference thermal speed rating (grease)', 'Outer ring width', 'Inner ring width', 'Reference thermal speed rating (oil)']","['27.9530 in', '37.4020 in', '35.300 in', '2780000 lbf', '0.200 in', 'METRIC', '0.200 in', '1250000 lbf', '0.1285', 'BRASS', '30.400 in', 'YMB', '6.15', '330', '7.0870 in', '7.087 in', '380']","['Bearings', 'Roller Bearings', 'Spherical Roller Bearings', 'Straight / Round Bore Spherical Roller Bearings']"
14,https://www.mrosupply.com/bearings/5075973_239750kymbw906ac3_timken/,200,TIMKEN 239/750KYMBW906AC3 SRB >900mm OD Timken,MODEL 239/750KYMBW906AC3,"['I.D.', 'O.D.', 'Outer ring backing diameter', 'Static radial rating', 'Inner ring ""to clear"" radius', 'Design unit', 'Outer ring ""to clear"" radius', 'Bore taper', 'Dynamic radial rating (two-rows)', 'Inner ring width', 'Cage material', 'Inner ring backing diameter', 'Cage type', 'ISO factor', 'Reference thermal speed rating (grease)', 'Outer ring width', 'Geometry factor', 'Reference thermal speed rating (oil)']","['29.5280 in', '39.3700 in', '37.300 in', '3000000 lbf', '0.200 in', 'METRIC', '0.200 in', '1/12', '1350000 lbf', '7.284 in', 'BRASS', '32.000 in', 'YMB', '6.3', '310', '7.2840 in', '0.1329', '350']","['Bearings', 'Roller Bearings', 'Spherical Roller Bearings', 'Tapered Bore Spherical Roller Bearings']"
15,https://www.mrosupply.com/bearings/5078304_240560ymbw33w45ac3_timken/,200,TIMKEN 240/560YMBW33W45AC3 SRB 600-900mm OD Timken,MODEL 240/560YMBW33W45AC3,"['I.D.', 'O.D.', 'Outer ring backing diameter', 'Static radial rating', 'Inner ring ""to clear"" radius', 'Design unit', 'Outer ring ""to clear"" radius', 'Dynamic radial rating (two-rows)', 'Geometry factor', 'Cage material', 'Inner ring backing diameter', 'Cage type', 'ISO factor', 'Reference thermal speed rating (grease)', 'Outer ring width', 'Inner ring width', 'Reference thermal speed rating (oil)']","['22.0470 in', '32.2840 in', '30.000 in', '3330000 lbf', '0.200 in', 'METRIC', '0.200 in', '1600000 lbf', '0.1121', 'BRASS', '24.300 in', 'YMB', '3.6', '300', '10.1580 in', '10.158 in', '330']","['Bearings', 'Roller Bearings', 'Spherical Roller Bearings', 'Straight / Round Bore Spherical Roller Bearings']"
16,https://www.mrosupply.com/bearings/5118350_240710ymdwew919bc6_timken/,200,,,[],[],[]
17,https://www.mrosupply.com/bearings/5070974_240rn03-r2_timken/,200,TIMKEN 240RN03 R2 CRB 12-24 OD Timken Single Row,MODEL 240RN03 R2,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
18,https://www.mrosupply.com/bearings/5078717_260ru02-r3_timken/,200,TIMKEN 260RU02 R3 CRB 12-24 OD Timken Single Row,MODEL 260RU02 R3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
